Gene,Gene_ID,disease_name,disease_id,score,Calculated_Risk_Score,Num_SNPs,Total_Risk_Score,Weighted_Gene_Score,Feature_Type,Gene_Length_bp
CEP68,ENSG00000011523,type 2 diabetes mellitus,MONDO_0005148,0.5240096169809124,5.240132936918085,3,1.5,4.5,transcript,122392.0
CEP68,ENSG00000011523,type 2 diabetes mellitus,MONDO_0005148,0.5240096169809124,5.240132936918085,3,1.5,4.5,gene_variant,122392.0
CEP68,ENSG00000011523,type 2 diabetes mellitus,MONDO_0005148,0.5240096169809124,5.240132936918085,3,1.5,4.5,gene_variant,122392.0
CEP68,ENSG00000011523,type 2 diabetes mellitus,MONDO_0005148,0.5240096169809124,5.240132936918085,3,1.5,4.5,transcript,122392.0
SP4,ENSG00000105866,low density lipoprotein cholesterol measurement,EFO_0004611,0.5238766393574347,5.238790385896803,1,0.4,0.4,transcript,16672.0
AKAP6,ENSG00000151320,fat pad mass,OBA_0004528,0.5238557422090335,5.239132202148986,7,2.8000000000000003,19.6,transcript,34100.0
SLAIN2,ENSG00000109171,platelet volume,OBA_0003277,0.5238298685306915,5.23843442807437,2,0.8,1.6,transcript,11787.0
TYR,ENSG00000077498,cancer,MONDO_0004992,0.5238162574625453,5.2382863983005405,1,0.5,0.5,transcript,4038.0
PTPRJ,ENSG00000149177,total cholesterol measurement,EFO_0004574,0.5237966492295523,5.2380416802654475,2,0.8,1.6,transcript,21280.0
STARD13,ENSG00000133121,hematocrit,EFO_0004348,0.5237817248106987,5.237832064568075,1,0.4,0.4,transcript,26997.0
FBXO22,ENSG00000167196,neurodegenerative disease,EFO_0005772,0.52377262114809,5.2377474102725685,1,0.4,0.4,transcript,18869.0
MIOS,ENSG00000164654,neurodegenerative disease,EFO_0005772,0.5237027211791474,5.237388589544157,4,1.6,6.4,transcript,17710.0
LTBP1,ENSG00000049323,BMI-adjusted waist circumference,EFO_0007789,0.5236222953647658,5.236235613077351,1,0.4,0.4,transcript,31597.0
ONECUT2,ENSG00000119547,sex hormone-binding globulin measurement,EFO_0004696,0.5235259615100297,5.2364214408264385,7,2.8000000000000003,19.6,transcript,16870.0
RET,ENSG00000165731,hepatocellular carcinoma,EFO_0000182,0.523521441070091,5.235224422965936,1,0.4,0.4,transcript,39951.0
FBXO22,ENSG00000167196,glomerular filtration rate,OBA_0003747,0.5234367837800461,5.2343890365921295,1,0.4,0.4,transcript,18869.0
LHX9,ENSG00000143355,neurodegenerative disease,EFO_0005772,0.5233724062576574,5.233798329193729,2,0.8,1.6,transcript,21544.0
CDH23,ENSG00000107736,Joubert syndrome and related disorders,MONDO_0015369,0.5233404900213122,5.233412450916092,1,0.5,0.5,transcript,66219.0
TYR,ENSG00000077498,squamous cell carcinoma,EFO_0000707,0.52321624865927,5.232286310267786,1,0.5,0.5,transcript,4038.0
SH3TC2,ENSG00000169247,systolic blood pressure,EFO_0006335,0.5232154923209826,5.232159346618505,1,0.4,0.4,transcript,90428.0
PDE3A,ENSG00000172572,appendicular lean mass,EFO_0004980,0.5231680119195387,5.231704902342846,1,0.4,0.4,gene_variant,16140.0
EVI5,ENSG00000067208,monocyte count,EFO_0005091,0.5231438998643964,5.231444654592607,1,0.4,0.4,transcript,70722.0
ZNF148,ENSG00000163848,neurodegenerative disease,EFO_0005772,0.52305649287883,5.23057679716797,1,0.4,0.4,transcript,33703.0
SLC30A8,ENSG00000164756,Drugs used in diabetes use measurement,EFO_0009924,0.5229986345734396,5.2302965134188,4,1.6,6.4,transcript,20634.0
SLC30A8,ENSG00000164756,Drugs used in diabetes use measurement,EFO_0009924,0.5229986345734396,5.2302965134188,4,1.6,6.4,gene_variant,20634.0
SLC30A8,ENSG00000164756,Drugs used in diabetes use measurement,EFO_0009924,0.5229986345734396,5.2302965134188,4,1.6,6.4,gene_variant,20634.0
SLC30A8,ENSG00000164756,Drugs used in diabetes use measurement,EFO_0009924,0.5229986345734396,5.2302965134188,4,1.6,6.4,transcript,20634.0
PDE3B,ENSG00000152270,reticulocyte measurement,EFO_0010700,0.5229566064113534,5.229640893409203,2,0.8,1.6,transcript,21382.0
FAM171B,ENSG00000144369,neuroimaging measurement,EFO_0004346,0.5229468856307895,5.229538652155042,1,0.4,0.4,transcript,5731.0
SLC25A37,ENSG00000147454,fat pad mass,OBA_0004528,0.5229465059960865,5.229484229902397,1,0.4,0.4,transcript,20866.0
CADPS,ENSG00000163618,body mass index,EFO_0004340,0.522917132862413,5.229180646334769,1,0.4,0.4,transcript,42929.0
ACVR1C,ENSG00000123612,non-high density lipoprotein cholesterol measurement,EFO_0005689,0.5229158211314576,5.229277525259394,2,0.8,1.6,transcript,13410.0
FNDC3B,ENSG00000075420,hypertrophic cardiomyopathy,EFO_0000538,0.5228777697460543,5.2288313149666585,2,0.8,1.6,transcript,29841.0
C12orf42,ENSG00000179088,body mass index,EFO_0004340,0.5225535785238976,5.225570924742806,1,0.5,0.5,transcript,14229.0
LRBA,ENSG00000198589,colobomatous microphthalmia-rhizomelic dysplasia syndrome,MONDO_0014380,0.5225285108229623,5.225289049737643,1,0.4,0.4,transcript,101484.0
LRBA,ENSG00000198589,syndromic microphthalmia,MONDO_0016073,0.5225285108229623,5.225289049737643,1,0.4,0.4,transcript,101484.0
CD86,ENSG00000114013,eosinophil count,EFO_0004842,0.5224967949429935,5.2249997838907385,1,0.4,0.4,transcript,12565.0
EGFR,ENSG00000146648,monocyte count,EFO_0005091,0.5224696184692319,5.2247335033469815,2,0.8,1.6,transcript,42874.0
TYR,ENSG00000077498,amino acid metabolism disease,MONDO_0037871,0.5223590098378608,5.223713922053695,1,0.5,0.5,transcript,4038.0
LRRC7,ENSG00000033122,neutrophil count,EFO_0004833,0.5222573229911361,5.222637333616912,3,1.2000000000000002,3.6000000000000005,transcript,56159.0
MEOX2,ENSG00000106511,triglyceride measurement,EFO_0004530,0.5222064246709551,5.222232951897236,1,0.4,0.4,transcript,2371.0
OXSR1,ENSG00000172939,erythrocyte volume,OBA_0003460,0.5221755148125575,5.221795724307357,1,0.4,0.4,transcript,9858.0
CBLB,ENSG00000114423,hypothyroidism,EFO_0004705,0.522167104714272,5.221679538810271,1,0.4,0.4,transcript,47105.0
AHNAK2,ENSG00000185567,rheumatoid arthritis,EFO_0000685,0.5220949676222758,5.220997505948933,2,1.0,2.0,transcript,41815.0
SLC25A36,ENSG00000114120,neurodegenerative disease,EFO_0005772,0.5220525843496443,5.220539510299777,1,0.4,0.4,transcript,29268.0
PDE3A,ENSG00000172572,apolipoprotein A 1 measurement,EFO_0004614,0.5220462627170784,5.220487410318244,1,0.4,0.4,gene_variant,16140.0
AFF1,ENSG00000172493,basophil measurement,EFO_0803539,0.5220380124832743,5.2203903474297935,1,0.4,0.4,transcript,39129.0
CCDC34,ENSG00000109881,bone tissue density,OBA_1000110,0.5219490438165764,5.219583961663543,1,0.4,0.4,transcript,4277.0
PPARG,ENSG00000132170,serum gamma-glutamyl transferase measurement,EFO_0004532,0.5219254989721247,5.244785983915469,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,serum gamma-glutamyl transferase measurement,EFO_0004532,0.5219254989721247,5.244785983915469,59,24.0,1416.0,gene_variant,55462.0
PPARG,ENSG00000132170,serum gamma-glutamyl transferase measurement,EFO_0004532,0.5219254989721247,5.244785983915469,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,serum gamma-glutamyl transferase measurement,EFO_0004532,0.5219254989721247,5.244785983915469,59,24.0,1416.0,gene_variant,55462.0
CYP24A1,ENSG00000019186,cystatin C measurement,EFO_0004617,0.5219093879961139,5.219284084430944,2,0.8,1.6,transcript,8412.0
ASTN2,ENSG00000148219,Bardet-Biedl syndrome 11,MONDO_0014439,0.5219015079660447,5.219073834067029,2,0.8,1.6,transcript,27232.0
PDE3A,ENSG00000172572,heart rate,OBA_1001087,0.5218394534441169,5.218419317588628,1,0.4,0.4,gene_variant,16140.0
FNDC3B,ENSG00000075420,BMI-adjusted waist-hip ratio,EFO_0007788,0.5218359009440571,5.218412626946686,2,0.8,1.6,transcript,29841.0
SNX13,ENSG00000071189,aspartate aminotransferase to alanine aminotransferase ratio,EFO_0010934,0.5218103196210132,5.218115521347249,1,0.4,0.4,transcript,32454.0
TTC39B,ENSG00000155158,total lipids in HDL measurement ,EFO_0022307,0.5218096572961717,5.218250228687526,3,1.2000000000000002,3.6000000000000005,transcript,23429.0
UGT2B15,ENSG00000196620,mean corpuscular hemoglobin concentration,EFO_0004528,0.521781275031352,5.2187499574362946,2,1.0,2.0,transcript,2134.0
SPAST,ENSG00000021574,genetic disorder,EFO_0000508,0.5217669626852539,5.217674803170882,1,0.4,0.4,transcript,77275.0
AKAP6,ENSG00000151320,body weight,EFO_0004338,0.5217430253815829,5.21800503387448,7,2.8000000000000003,19.6,transcript,34100.0
PTPRJ,ENSG00000149177,high density lipoprotein cholesterol measurement,EFO_0004612,0.5217156521778131,5.217231709748056,2,0.8,1.6,transcript,21280.0
CTBP2,ENSG00000175029,hearing loss,EFO_0004238,0.5217039637396258,5.217053700610406,1,0.4,0.4,transcript,28443.0
UMPS,ENSG00000114491,platelet volume,OBA_0003277,0.5216364051300142,5.2163829076618065,1,0.4,0.4,transcript,21213.0
REEP3,ENSG00000165476,erythrocyte volume,OBA_0003460,0.5215960954021188,5.216030737691809,1,0.4,0.4,transcript,5732.0
GBE1,ENSG00000114480,diet measurement,EFO_0008111,0.5215785779584099,5.215846658678218,1,0.5,0.5,transcript,8213.0
REEP3,ENSG00000165476,sex hormone-binding globulin measurement,EFO_0004696,0.521535313342812,5.215422917098741,1,0.4,0.4,transcript,5732.0
DLC1,ENSG00000164741,heart rate,OBA_1001087,0.5214385793524955,5.21439747269807,1,0.4,0.4,transcript,34249.0
SNIP1,ENSG00000163877,neurodegenerative disease,EFO_0005772,0.5214073823800653,5.214119319706022,1,0.4,0.4,transcript,8792.0
PDE10A,ENSG00000112541,hyperthyroidism,EFO_0009189,0.5213369854603882,5.213389566697799,3,1.2000000000000002,3.6000000000000005,transcript,182629.0
CYP24A1,ENSG00000019186,urate measurement,EFO_0004531,0.5212523130941564,5.21271333541137,2,0.8,1.6,transcript,8412.0
TNPO3,ENSG00000064419,neurodegenerative disease,EFO_0005772,0.5212384427976249,5.212411100333018,1,0.5,0.5,transcript,18746.0
AKAP11,ENSG00000023516,neurodegenerative disease,EFO_0005772,0.5211752138897099,5.212152138897099,1,0.4,0.4,transcript,1000.0
GIPC2,ENSG00000137960,glomerular filtration rate,OBA_0003747,0.5211501637520032,5.211892835564042,2,0.8,1.6,transcript,4090.0
BCKDHB,ENSG00000083123,lean body mass,EFO_0004995,0.5210648458520046,5.216375835381443,10,4.0,40.0,transcript,6984.0
LRBA,ENSG00000198589,alkaline phosphatase measurement,EFO_0004533,0.5209668500687337,5.209672442195358,1,0.4,0.4,transcript,101484.0
FIGN,ENSG00000182263,coronary artery disease,EFO_0001645,0.5208963869672883,5.209000624244234,1,0.4,0.4,transcript,10883.0
PDE1A,ENSG00000115252,hypertension,EFO_0000537,0.5207441743018228,5.2075682941484,3,1.2000000000000002,3.6000000000000005,transcript,28447.0
LRBA,ENSG00000198589,gallstones,EFO_0004210,0.5207396930528085,5.207400872036107,1,0.4,0.4,transcript,101484.0
SMARCC1,ENSG00000173473,body mass index,EFO_0004340,0.5207082903867013,5.207197050974098,2,0.8,1.6,gene_variant,14017.0
SMARCC1,ENSG00000173473,body mass index,EFO_0004340,0.5207082903867013,5.207197050974098,2,0.8,1.6,gene_variant,14017.0
SMARCC1,ENSG00000173473,body mass index,EFO_0004340,0.5207082903867013,5.207197050974098,2,0.8,1.6,transcript,14017.0
SMARCC1,ENSG00000173473,body mass index,EFO_0004340,0.5207082903867013,5.207197050974098,2,0.8,1.6,transcript,14017.0
KCNJ15,ENSG00000157551,lean body mass,EFO_0004995,0.5207010020060083,5.2070198541104835,1,0.4,0.4,transcript,40675.0
PCDH18,ENSG00000189184,diastolic blood pressure,EFO_0006336,0.5206621899969379,5.206699071628088,2,0.8,1.6,transcript,20733.0
BANK1,ENSG00000153064,lean body mass,EFO_0004995,0.5205440512664208,5.2056530004053,3,1.3,3.9000000000000004,transcript,18354.0
TTC39B,ENSG00000155158,choline measurement,EFO_0010116,0.5205018624430187,5.205172280155996,3,1.2000000000000002,3.6000000000000005,transcript,23429.0
PPARG,ENSG00000132170,body weight,EFO_0004338,0.5204510788036318,5.230041782230541,59,24.0,1416.0,gene_variant,55462.0
PPARG,ENSG00000132170,body weight,EFO_0004338,0.5204510788036318,5.230041782230541,59,24.0,1416.0,gene_variant,55462.0
PPARG,ENSG00000132170,body weight,EFO_0004338,0.5204510788036318,5.230041782230541,59,24.0,1416.0,transcript,55462.0
PPARG,ENSG00000132170,body weight,EFO_0004338,0.5204510788036318,5.230041782230541,59,24.0,1416.0,transcript,55462.0
PLA2R1,ENSG00000153246,platelet count,EFO_0004309,0.5204082036249286,5.204161228488447,2,0.8,1.6,transcript,20204.0
TSPAN9,ENSG00000011105,lean body mass,EFO_0004995,0.5203934276004076,5.203969759646117,1,0.5,0.5,transcript,14091.0
BICC1,ENSG00000122870,glomerular filtration rate,OBA_0003747,0.520376349695788,5.20381159122264,1,0.4,0.4,transcript,8317.0
LPP,ENSG00000145012,monocyte count,EFO_0005091,0.5203433694456907,5.2035025946377695,4,1.6,6.4,transcript,92888.0
APOBEC3H,ENSG00000100298,lymphocyte count,EFO_0004587,0.5202425436458231,5.202502020796734,1,0.4,0.4,transcript,5223.0
ALG10B,ENSG00000175548,vitamin D measurement,EFO_0004631,0.5201846751645494,5.202552567568701,5,2.0,10.0,transcript,14168.0
FZD6,ENSG00000164930,nail disorder,MONDO_0002884,0.5201733793616432,5.201813685762035,2,0.8,1.6,transcript,20027.0
TTC39B,ENSG00000155158,apolipoprotein B measurement,EFO_0004615,0.5200776581143105,5.200930236868914,3,1.2000000000000002,3.6000000000000005,transcript,23429.0
RASA2,ENSG00000155903,erythrocyte count,EFO_0004305,0.52006661371763,5.200713750555659,1,0.4,0.4,transcript,8401.0
PDE3A,ENSG00000172572,hypertension,EFO_0000537,0.5200506269125007,5.200531052272467,1,0.4,0.4,gene_variant,16140.0
RET,ENSG00000165731,neuroendocrine neoplasm,EFO_1001901,0.520019333913663,5.200203351401655,1,0.4,0.4,transcript,39951.0
PFAS,ENSG00000178921,dyskeratosis congenita,MONDO_0015780,0.5199677146803817,5.19970047313925,1,0.4,0.4,transcript,17148.0
TYR,ENSG00000077498,benign neoplasm of eye,MONDO_0021454,0.5199109021433648,5.199232845108734,1,0.5,0.5,transcript,4038.0
PARP1,ENSG00000143799,cancer,MONDO_0004992,0.5198691548345802,5.198697417923779,1,0.5,0.5,transcript,85185.0
PTPRJ,ENSG00000149177,triglyceride measurement,EFO_0004530,0.5198418449038896,5.198493637008821,2,0.8,1.6,transcript,21280.0
PDE3B,ENSG00000152270,phospholipids:total lipids ratio,EFO_0020946,0.519798082007139,5.198055649367059,2,0.8,1.6,transcript,21382.0
SH3TC2,ENSG00000169247,genetic disorder,EFO_0000508,0.5196962549452836,5.196966972861515,1,0.4,0.4,transcript,90428.0
GBE1,ENSG00000114480,body mass index,EFO_0004340,0.5196678576655003,5.196739455749122,1,0.5,0.5,transcript,8213.0
QKI,ENSG00000112531,body mass index,EFO_0004340,0.5196366393015295,5.196401965171189,2,0.8,1.6,transcript,44979.0
RIF1,ENSG00000080345,erythrocyte volume,OBA_0003460,0.5196267885270747,5.196329428587773,3,1.3,3.9000000000000004,transcript,63370.0
PDE3A,ENSG00000172572,heart failure,EFO_0003144,0.5196208438573835,5.196233221721295,1,0.4,0.4,gene_variant,16140.0
MEOX2,ENSG00000106511,heel bone mineral density,EFO_0009270,0.5196186338489476,5.19635504367716,1,0.4,0.4,transcript,2371.0
GLB1,ENSG00000170266,eosinophil count,EFO_0004842,0.5195339870607488,5.19537077868686,1,0.5,0.5,transcript,16177.0
PIGN,ENSG00000197563,genetic disorder,EFO_0000508,0.5194780301018574,5.194782840846247,1,0.4,0.4,transcript,157491.0
PDE3B,ENSG00000152270,total cholesterol measurement,EFO_0004574,0.5194297168991121,5.19437199828679,2,0.8,1.6,transcript,21382.0
BICC1,ENSG00000122870,systolic blood pressure,EFO_0006335,0.5193710929914873,5.1937590241796325,1,0.4,0.4,transcript,8317.0
ZNF682,ENSG00000197124,chylomicron amount,OBA_2050296,0.5193596249779763,5.193622223805736,1,0.5,0.5,transcript,19250.0
FRMD4B,ENSG00000114541,atrial fibrillation,EFO_0000275,0.5193086152198341,5.193162248460111,2,0.8,1.6,transcript,21026.0
SHH,ENSG00000164690,FEV/FVC ratio,EFO_0004713,0.5193037687092336,5.1930908361755135,1,0.4,0.4,transcript,7526.0
CDH23,ENSG00000107736,monocyte count,EFO_0005091,0.519276912861496,5.192776679317931,1,0.5,0.5,transcript,66219.0
RASA2,ENSG00000155903,erythrocyte volume,OBA_0003460,0.5191429000708532,5.1914766140878905,1,0.4,0.4,transcript,8401.0
LDLRAP1,ENSG00000157978,Abnormality of the cardiovascular system,HP_0001626,0.5190997382579157,5.191023296028237,1,0.4,0.4,transcript,15436.0
TTC39B,ENSG00000155158,free cholesterol to total lipids in medium HDL percentage ,EFO_0022282,0.519093976839649,5.1910934241222995,3,1.2000000000000002,3.6000000000000005,transcript,23429.0
PDE11A,ENSG00000128655,Myopia,HP_0000545,0.5189670800926496,5.189734584063829,2,0.8,1.6,transcript,25085.0
LAMA1,ENSG00000101680,type 2 diabetes mellitus,MONDO_0005148,0.5188331837730756,5.188347732949475,1,0.5,0.5,transcript,31456.0
AFF1,ENSG00000172493,erythrocyte volume,OBA_0003460,0.5186762433464527,5.186772656061577,1,0.4,0.4,transcript,39129.0
MRPL35,ENSG00000132313,neurodegenerative disease,EFO_0005772,0.5186596093123226,5.186659909332543,1,0.4,0.4,transcript,6268.0
AHCTF1,ENSG00000153207,neurodegenerative disease,EFO_0005772,0.5186584828652006,5.186598095122329,1,0.5,0.5,transcript,37689.0
PRDM5,ENSG00000138738,neuroimaging measurement,EFO_0004346,0.5186535713291162,5.186616321886053,2,0.8,1.6,transcript,19849.0
LPP,ENSG00000145012,celiac disease,EFO_0001060,0.518642664862607,5.186495548806933,4,1.6,6.4,transcript,92888.0
PDE3B,ENSG00000152270,triglycerides to total lipids in medium HDL percentage ,EFO_0022333,0.5186276315282918,5.1863511445785875,2,0.8,1.6,transcript,21382.0
PAG1,ENSG00000076641,total blood protein measurement,EFO_0004536,0.5185878747974924,5.186008839852312,2,0.8,1.6,transcript,12299.0
PLCL2,ENSG00000154822,intelligence,EFO_0004337,0.5185387055150221,5.18552560728046,2,0.8,1.6,transcript,11548.0
TSPAN9,ENSG00000011105,neutrophil count,EFO_0004833,0.5184854261353771,5.184889744995811,1,0.5,0.5,transcript,14091.0
DPYD,ENSG00000188641,schizophrenia,MONDO_0005090,0.5184383867945326,5.184442088718498,1,0.5,0.5,transcript,8588.0
FIGN,ENSG00000182263,glomerular filtration rate,OBA_0003747,0.5184227888779895,5.184264643351246,1,0.4,0.4,transcript,10883.0
PLXNA4,ENSG00000221866,neurodegenerative disease,EFO_0005772,0.5183710016547839,5.183722263945267,1,0.4,0.4,transcript,32660.0
C4orf33,ENSG00000151470,metabolite measurement,EFO_0004725,0.5183308913317894,5.183759966950991,4,1.6,6.4,transcript,14189.0
NAF1,ENSG00000145414,neurodegenerative disease,EFO_0005772,0.5182619984007901,5.182681934199947,1,0.5,0.5,transcript,8071.0
FYCO1,ENSG00000163820,aspartate aminotransferase measurement,EFO_0004736,0.5182162839864775,5.18218745070585,1,0.4,0.4,transcript,16253.0
FMN1,ENSG00000248905,cutaneous melanoma,EFO_0000389,0.5181643455562716,5.181679153115202,2,0.8,1.6,transcript,44821.0
ONECUT1,ENSG00000169856,body mass index,EFO_0004340,0.5181407717551502,5.18146056469115,1,0.4,0.4,transcript,7569.0
PRTG,ENSG00000166450,erythrocyte volume,OBA_0003460,0.5180635518170419,5.180853594254742,3,1.2000000000000002,3.6000000000000005,transcript,16508.0
FBN1,ENSG00000166147,systolic blood pressure,EFO_0006335,0.518049701888929,5.180503684111824,1,0.4,0.4,transcript,60013.0
SLC35D3,ENSG00000182747,calcium measurement,EFO_0004838,0.5180278663106985,5.180449384404468,1,0.4,0.4,transcript,2343.0
RFX7,ENSG00000181827,erythrocyte volume,OBA_0003460,0.5179865241312488,5.179874833638626,1,0.4,0.4,transcript,41700.0
SP8,ENSG00000164651,prostate specific antigen amount,OBA_2050200,0.5179619923650288,5.17969483001733,1,0.4,0.4,transcript,5340.0
TBX5,ENSG00000089225,systolic blood pressure,EFO_0006335,0.517957651932388,5.1797018129808885,2,0.8,1.6,transcript,12770.0
NEBL,ENSG00000078114,pulse pressure measurement,EFO_0005763,0.5179555907632448,5.179563729451412,1,0.4,0.4,transcript,51139.0
EGFR,ENSG00000146648,squamous cell lung carcinoma,EFO_0000708,0.5179481262525537,5.1795185811802,2,0.8,1.6,transcript,42874.0
ZNF436,ENSG00000125945,serum creatinine amount,OBA_2050096,0.5178688095942425,5.178721737658153,1,0.4,0.4,transcript,11890.0
GJB2,ENSG00000165474,sensorineural hearing loss,EFO_1001176,0.5178133510740781,5.178220316296336,1,0.4,0.4,transcript,4608.0
SLC25A37,ENSG00000147454,blood sodium bicarbonate amount,OBA_2050094,0.517752581517754,5.177544985119073,1,0.4,0.4,transcript,20866.0
DPYD,ENSG00000188641,triglyceride measurement,EFO_0004530,0.517725811273572,5.177316333508892,1,0.5,0.5,transcript,8588.0
ANKH,ENSG00000154122,open-angle glaucoma,EFO_0004190,0.5176969751407613,5.177738194030564,5,2.4,12.0,gene_variant,15616.0
ANKH,ENSG00000154122,open-angle glaucoma,EFO_0004190,0.5176969751407613,5.177738194030564,5,2.4,12.0,gene_variant,15616.0
ANKH,ENSG00000154122,open-angle glaucoma,EFO_0004190,0.5176969751407613,5.177738194030564,5,2.4,12.0,transcript,15616.0
ANKH,ENSG00000154122,open-angle glaucoma,EFO_0004190,0.5176969751407613,5.177738194030564,5,2.4,12.0,transcript,15616.0
TFEC,ENSG00000105967,platelet count,EFO_0004309,0.5176631213272876,5.176646910627872,1,0.4,0.4,transcript,25482.0
CEP85L,ENSG00000111860,Rare familial disorder with hypertrophic cardiomyopathy,Orphanet_99739,0.5176012227560559,5.176027630541036,1,0.4,0.4,transcript,25969.0
CD69,ENSG00000110848,lymphocyte count,EFO_0004587,0.5175323029660134,5.176167505381456,3,1.2000000000000002,3.6000000000000005,transcript,4263.0
OTOGL,ENSG00000165899,vestibular disease,EFO_0009691,0.5175243844188049,5.175258702145972,1,0.5,0.5,transcript,33652.0
STXBP4,ENSG00000166263,neurodegenerative disease,EFO_0005772,0.5175084267734184,5.1754759791212335,5,2.0,10.0,transcript,25529.0
LRBA,ENSG00000198589,cystatin C measurement,EFO_0004617,0.5174469221958603,5.174473163466624,1,0.4,0.4,transcript,101484.0
PICALM,ENSG00000073921,platelet count,EFO_0004309,0.5173905806785377,5.17391907510395,1,0.4,0.4,transcript,30147.0
UBXN2A,ENSG00000173960,hemoglobin measurement,EFO_0004509,0.5173890636976594,5.174047854231187,2,0.8,1.6,transcript,10177.0
ALDOB,ENSG00000136872,genetic disorder,EFO_0000508,0.5173686450031355,5.173727862185823,1,0.4,0.4,transcript,9659.0
PEX2,ENSG00000164751,Zellweger spectrum disorders,MONDO_0019609,0.5173376001278429,5.173419827289166,1,0.4,0.4,transcript,9127.0
PHC1,ENSG00000111752,eosinophil count,EFO_0004842,0.5173038833519954,5.173057984004461,1,0.5,0.5,transcript,26109.0
LARP4B,ENSG00000107929,eosinophil count,EFO_0004842,0.5172795046995357,5.17280605899844,1,0.5,0.5,transcript,45405.0
CDH23,ENSG00000107736,autosomal dominant nonsyndromic hearing loss,MONDO_0019587,0.5172372506231181,5.172380056934151,1,0.5,0.5,transcript,66219.0
PLEC,ENSG00000178209,platelet count,EFO_0004309,0.5172226478073135,5.172235542338779,2,0.9,1.8,transcript,198582.0
RASA2,ENSG00000155903,body weight,EFO_0004338,0.517186144391768,5.171909057297039,1,0.4,0.4,transcript,8401.0
TAF1B,ENSG00000115750,calcium measurement,EFO_0004838,0.5171313297412783,5.171367698457283,1,0.5,0.5,transcript,9191.0
PDE3B,ENSG00000152270,lipid measurement,EFO_0004529,0.5170947601736356,5.171022431032026,2,0.8,1.6,transcript,21382.0
ITGB8,ENSG00000105855,BMI-adjusted waist circumference,EFO_0007789,0.5170378473728127,5.170549000941428,3,1.2000000000000002,3.6000000000000005,transcript,21111.0
TMEM106B,ENSG00000106460,triglyceride measurement,EFO_0004530,0.5169410339968102,5.16944321645525,2,0.8,1.6,transcript,48667.0
NAA30,ENSG00000139977,neurodegenerative disease,EFO_0005772,0.5169404563588824,5.169434318851786,1,0.4,0.4,transcript,13443.0
ROCK2,ENSG00000134318,ocular hypertension,EFO_1001069,0.5169198419410048,5.169209413011772,1,0.5,0.5,transcript,45481.0
PDE11A,ENSG00000128655,sitting height measurement,EFO_0011011,0.5168810258750706,5.168874041888039,2,0.8,1.6,transcript,25085.0
SEMA3C,ENSG00000075223,BMI-adjusted waist-hip ratio,EFO_0007788,0.5168712774205851,5.168746492489591,1,0.4,0.4,transcript,11863.0
PTAR1,ENSG00000188647,cognitive function measurement,EFO_0008354,0.5168529605028813,5.168597298377942,2,0.8,1.6,transcript,23636.0
PTAR1,ENSG00000188647,major depressive disorder,MONDO_0002009,0.5168529605028813,5.168597298377942,2,0.8,1.6,transcript,23636.0
GPATCH2L,ENSG00000089916,hemoglobin measurement,EFO_0004509,0.5167793795736179,5.1679362680765095,4,1.6,6.4,transcript,44921.0
AKR1C1,ENSG00000187134,body weight,EFO_0004338,0.5167775669160579,5.167914860113167,2,0.8,1.6,transcript,11495.0
PDE1A,ENSG00000115252,metabolite measurement,EFO_0004725,0.5167472254366914,5.167598805497085,3,1.2000000000000002,3.6000000000000005,transcript,28447.0
DCUN1D1,ENSG00000043093,neurodegenerative disease,EFO_0005772,0.5167404633857925,5.167428911595239,1,0.4,0.4,transcript,16476.0
PALM2AKAP2,ENSG00000157654,diastolic blood pressure,EFO_0006336,0.5167166098034363,5.1671740852548105,1,0.4,0.4,transcript,50080.0
LHFPL2,ENSG00000145685,systolic blood pressure,EFO_0006335,0.5166889398261879,5.166916290826085,1,0.4,0.4,transcript,14874.0
ROCK2,ENSG00000134318,open-angle glaucoma,EFO_0004190,0.516683871951088,5.166849713112604,1,0.5,0.5,transcript,45481.0
ZNF682,ENSG00000197124,total cholesterol measurement,EFO_0004574,0.5166064031042606,5.16609000506858,1,0.5,0.5,transcript,19250.0
ETV5,ENSG00000244405,lipid measurement,EFO_0004529,0.5165633830141229,5.16566600258553,1,0.4,0.4,transcript,12433.0
FNDC3B,ENSG00000075420,body weight,EFO_0004338,0.5165326325942162,5.165379943448278,2,0.8,1.6,transcript,29841.0
PDE1A,ENSG00000115252,systolic blood pressure,EFO_0006335,0.5165044722119192,5.1651712732493635,3,1.2000000000000002,3.6000000000000005,transcript,28447.0
NLRP10,ENSG00000182261,atopic eczema,EFO_0000274,0.5164528674313863,5.164575408745455,1,0.4,0.4,transcript,8559.0
FIGN,ENSG00000182263,heart rate,OBA_1001087,0.5164039623481154,5.164076378052504,1,0.4,0.4,transcript,10883.0
ABCA13,ENSG00000179869,metabolite measurement,EFO_0004725,0.5163744268154739,5.16375460001406,1,0.5,0.5,transcript,48394.0
FGFR1OP2,ENSG00000111790,neurodegenerative disease,EFO_0005772,0.516363133987283,5.163667473567499,1,0.4,0.4,transcript,11070.0
MYO3A,ENSG00000095777,alkaline phosphatase measurement,EFO_0004533,0.5163548309973115,5.163572025763088,1,0.5,0.5,transcript,21083.0
